,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
1168,Expedia Group,EXGR34,BM&FBovespa,Consumer Discretionary,"Hotels, Restaurants & Leisure",237,-10.16%,-,1.00,35.86,-37.63,12.01B,29.00,2.89,1.51,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-10.16,-10.16,-4.70,-53.80,-50.62,9.64,-50.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,548.24,237,-56.77,0.00,6.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.59,13.76,-80.07,-157.41,-33.28,-21.55,29.46,38.48,43.99,30.33,-100.00
1169,FirstEnergy,F1EC34,BM&FBovespa,Utilities,Electric Utilities,212.27,0%,-,0.00,17.23,-,9.42B,26.00,2.19,0.46,5.48,-,-,-,-,-,-,0.00,0.67,0.67,-7.05,-4.38,-,-4.38,2.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229.54,185.9,-7.52,14.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1170,Illumina,I1LM34,BM&FBovespa,Healthcare,Life Sciences Tools & Services,216.72,0%,-,0.00,-8.38,4.11,4.61B,62.00,-26.49,1.17,-,-,Neutral,Strong Sell,Strong Sell,Sell,Strong Sell,0.00,0.00,-3.60,-49.05,-47.92,-,-47.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,467.81,188.1,-53.67,15.22,-8.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.47,11.07,-29.73,-121.06,-19.32,-0.56,45.85,35.44,0.46,44.75,-100.00
1171,Marathon Petroleum,M1PC34,BM&FBovespa,Energy,"Oil, Gas & Consumable Fuels",568,-1.56%,-,30.00,5.51,26.86,116.76B,201.00,21.90,1.61,10.45,-,Strong Sell,Strong Sell,Sell,Buy,Strong Buy,-1.56,-15.89,-6.68,55.67,56.06,-,56.06,1.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,675.29,350.35,-15.89,62.12,11.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.67,21.79,-45.85,-64.92,-22.97,2.02,50.48,43.05,0.00,48.01,-83.03
1172,Moody's,MCOR34,BM&FBovespa,Financial,Capital Markets,378.3,0%,-,0.00,31.64,9.67,4.18B,11.00,8.43,1.24,2.51,-,Sell,Strong Sell,Neutral,Strong Buy,Neutral,0.00,0.00,10.06,-32.58,-31.45,60.75,-30.71,0.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568.96,307.84,-33.51,22.89,9.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.44,16.20,5.29,28.19,8.00,16.82,53.82,74.57,50.93,41.45,-37.56
1173,Markel,MKLC34,BM&FBovespa,Financial,Insurance,343.82,0%,-,0.00,-136.46,-1.65,10.15B,10.00,-9.21,0.75,-,-,Buy,Buy,Strong Buy,Strong Buy,Strong Buy,0.00,0.00,12.37,-1.44,-0.87,38.10,-0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,354.3,304.79,-2.96,12.81,12.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.57,8.60,27.44,84.83,14.24,4.19,56.17,55.41,98.97,53.39,-1.09
1174,NetEase,NETE34,BM&FBovespa,Communication Services,Entertainment,35.83,-0.25%,-,495.00,-,0.00,95.52B,760.00,33.72,-,0.56,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.25,1.53,16.63,-37.12,-37.95,-,-39.90,1.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.23,28.91,-38.47,23.94,30.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.32,1.39,0.70,-41.57,-0.41,2.84,50.91,39.06,9.87,43.73,-82.74
1175,NetApp,N1TA34,BM&FBovespa,Information Technology,"Technology Hardware, Storage & Peripherals",335.28,0%,-,0.00,-,-22.94,6.55B,1.00,6.67,1.15,7.16,-,Sell,Strong Sell,Strong Sell,Strong Sell,-,0.00,0.00,0.00,-36.97,-31.00,-,-31.00,2.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,538.39,335.28,-37.73,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.95,19.61,-213.48,-184.42,-138.47,-35.92,24.76,35.63,0.00,14.39,-100.00
1176,NVR,N1VR34,BM&FBovespa,Consumer Discretionary,Household Durables,434,0%,-,0.00,10.50,-19.74,10.07B,38.00,479.07,0.94,-,-,Neutral,Neutral,Strong Sell,Strong Sell,Neutral,0.00,0.00,0.00,-34.54,-31.87,-,-31.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,670,403.6,-35.22,7.53,2.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.16,18.12,-23.28,-8.12,-2.39,0.83,45.86,21.69,48.16,31.97,-68.15
1177,Philip Morris International,PHMO34,BM&FBovespa,Consumer Staples,Tobacco,265.96,-1.3%,-,512.00,16.18,7.90,31.73B,203.00,5.62,0.71,12.82,-,Sell,Sell,Strong Buy,Strong Buy,Strong Buy,-1.30,0.11,11.82,1.82,7.68,59.14,5.33,4.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,309.95,211.27,-14.19,25.89,7.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.50,4.83,10.20,64.42,1.03,4.63,60.53,62.55,26.84,48.88,-39.58
1178,PNC Financial Services Group,PNCS34,BM&FBovespa,Financial,Banks,418.6,0%,-,0.00,12.66,-21.05,20.69B,2.00,13.24,1.15,10.50,-,Neutral,Strong Sell,Strong Sell,Strong Sell,-,0.00,0.00,0.00,-25.67,-25.54,36.56,-27.06,2.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,640.46,373.53,-34.64,12.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.69,9.64,-13.70,-65.90,-3.05,-2.89,41.90,42.89,54.29,51.23,-74.72
1179,FI Imobiliario - Ourinvest Fundo de Fundos,OUFF11,BM&FBovespa,Financial,Capital Markets,64.67,0.26%,-,1.90K,-,-0.77,-,4.13K,-,-,8.40,-,Strong Buy,Buy,Strong Sell,Strong Sell,Strong Buy,0.26,0.51,-4.28,-10.49,-11.50,-32.88,-9.89,12.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.5,62.17,-12.01,4.02,-4.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.30,0.95,-0.84,-56.91,0.00,-1.12,40.21,58.32,84.45,42.88,-38.83
1180,BR Hotéis,BRHT11B,SOMA,Financial,Capital Markets,0.02,0%,-,0.00,-,-,-,0.00,-,-,-,-,-,-,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1181,Eldorado,ELDO11B,SOMA,Financial,Capital Markets,934.39,0%,-,0.00,-,-,-,0.00,-,-,66.53,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1182,Rb Capital Recebiveis Imobiliarios Fundo de Invest,RRCI11,BM&FBovespa,Financial,Capital Markets,86.88,0.44%,-,665.00,-,0.51,-,1.86K,-,-,10.80,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.44,0.43,1.74,18.73,24.28,-,24.92,12.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87.55,68.83,-0.77,26.22,4.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.75,1.28,0.24,67.93,0.27,3.33,60.74,78.71,79.53,79.57,-16.79
1183,FI Imobilario Caixa Agencias,CXAG11,BM&FBovespa,Financial,Capital Markets,77.06,0.08%,-,1.05K,-,-0.75,-,1.56K,-,-,9.00,-,Strong Sell,Strong Sell,Strong Sell,Sell,Neutral,0.08,-0.13,-3.71,-,-,-,-,11.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.5,69.73,-14.85,10.51,-3.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.70,0.99,-0.91,-68.13,-0.17,-2.99,38.54,34.15,66.97,50.41,-89.81
1184,AngloGold Ashanti DRC,A1UA34,BM&FBovespa,Materials,Metals & Mining,24.39,0.25%,-,58.00,9.76,1.29,3.19B,763.00,1.33,0.08,0.28,-,Neutral,Strong Buy,Strong Buy,Strong Buy,Neutral,0.25,0.16,15.05,-14.05,-8.36,-,-11.08,1.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.27,15.78,-28.83,54.56,40.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.92,0.66,2.02,98.65,0.28,3.92,66.83,63.88,30.63,56.88,-24.40
1185,Iguatemi Unt,IGTI11,BM&FBovespa,Real Estate,Real Estate Management & Development,18.1,-1.2%,-,3.06M,412.47,-0.51,1.04B,3.34M,0.01,0.88,0.11,-,Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,-1.20,-1.90,-12.52,1.82,-8.69,-,-8.56,0.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.88,14.41,-20.89,25.61,-13.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.20,0.77,-1.23,-115.28,-0.07,2.38,40.37,43.28,63.90,48.36,-77.16
1186,Sao Paulo Turismo Prf,AHEB6,BM&FBovespa,Consumer Discretionary,"Hotels, Restaurants & Leisure",20,0%,-,0.00,-5.16,-,208.32M,700.00,-3.88,0.03,-,-,-,-,-,-,-,0.00,0.00,0.00,-61.17,-61.17,-68.69,-61.17,-,-5.19,0.82,-24.76,-53.72,-2.12,-,-166.04,45.31,-,-22.36,9.03,-1.24,-,0.73,354.99,-,-,-,41.2,20,-51.46,0.00,-,25.11,-,-3.68,-,-15.51,-,-15.89,-,0.50,0.99,-,-5.01,-,0.00,-,-,-,-,-,-,-,-,-,-,-,-
1187,FG/Agro FI Cad Prod,FGAA11,BM&FBovespa,Financial,Capital Markets,10.15,0.1%,-,98.53K,-,0.02,-,152.24K,-,-,-,-,Strong Buy,Strong Buy,Strong Buy,Buy,Buy,0.10,0.30,0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.33,9.51,-10.41,6.73,-1.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.48,0.09,0.10,112.68,0.06,1.91,57.29,76.26,85.18,64.24,-21.21
1188,BB Fundo de Investimento de Crédito Fiagro Imobili,BBGO11,BM&FBovespa,Financial,Capital Markets,82.38,-0.15%,-,1.63K,-,-0.61,-,2.82K,-,-,9.60,-,Neutral,Strong Sell,Strong Sell,Strong Sell,Neutral,-0.15,-0.76,-3.34,-,-,-,-,11.65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,81,-17.62,1.70,-0.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.04,0.85,-2.60,-183.45,-1.13,-2.39,33.26,28.73,0.00,33.75,-90.45
1189,Weibo,W1BO34,BM&FBovespa,Communication Services,Interactive Media & Services,20.2,8.84%,-,263.00,65.44,-0.42,2.00B,445.00,0.25,0.62,-,-,Strong Buy,Strong Buy,Buy,Strong Sell,Strong Sell,8.84,8.84,18.13,-54.32,-55.42,-,-57.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.5,13.39,-58.35,50.86,24.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.88,0.77,3.76,121.24,2.18,39.99,55.42,73.11,100.00,62.07,-4.31
1190,Sea DRC,S2EA34,BM&FBovespa,Communication Services,Entertainment,12.15,-2.88%,-,721.00,-12.13,0.33,11.69B,53.59K,-4.84,1.50,-,-,Strong Sell,Strong Sell,Neutral,Neutral,Strong Sell,-2.88,-4.10,42.94,-75.99,-78.50,-,-78.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.22,8.43,-79.48,44.13,17.32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.65,0.75,0.68,25.95,0.00,-5.59,54.17,60.66,25.64,54.31,-53.88
1191,Alteryx DRC,A1YX34,BM&FBovespa,Information Technology,Software,11.21,0.09%,-,2.00,-9.89,-0.64,339.21M,27.00,-4.77,0.60,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.09,0.18,5.46,-34.90,-39.89,-,-39.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.65,10,-39.89,12.10,-12.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.81,0.49,-0.55,-77.56,-0.36,-9.23,43.36,60.93,82.40,43.65,-55.02
1192,FI Imobiliario Maua Capital High Yield FII,MCHY11,BM&FBovespa,Financial,Capital Markets,104.21,0.2%,-,58.00,-,-0.34,-,281.00,-,-,16.80,-,Strong Sell,Sell,Sell,Strong Sell,Strong Sell,0.20,-0.29,-0.73,0.95,2.07,-,2.07,16.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.55,94.8,-8.23,9.93,-1.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.63,1.49,0.96,66.76,0.00,-0.96,46.88,62.23,58.17,48.48,-47.85
1193,FII Tourmalet V Edificio Cidade Nova,TCIN11,BM&FBovespa,Financial,Capital Markets,122.39,0%,-,0.00,-,2.90,-,6.66K,-,-,-,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.00,0.00,-2.98,7.74,9.24,-,8.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145,98.01,-15.59,24.88,1.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,3.69,-0.77,28.81,0.93,7.29,52.54,71.80,33.52,51.88,-41.58
1194,Vectis Renda Residencial FII  1,VCRR11,BM&FBovespa,Financial,Capital Markets,70.76,-1.57%,-,1.73K,-,-1.50,-,1.25K,-,-,8.04,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-1.57,-1.59,-7.50,-2.26,3.68,-,6.56,11.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.49,64.63,-17.23,9.48,-2.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.25,1.62,-3.51,-172.58,-1.89,-5.40,32.26,32.57,0.00,29.86,-89.23
1195,Taurus Armas Right Series C,TASA15,BM&FBovespa,,,14.2,0%,-,0.00,-,-,-,3.00K,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,-14.97,4.48K,-14.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.85,13.1,-37.86,8.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1196,Xilinx,X1LN34,BM&FBovespa,Information Technology,Semiconductors & Semiconductor Equipment,507,0%,-,0.00,-,-,-,310.00,-,-,2.60,-,-,-,-,-,-,0.00,0.00,0.00,-17.73,36.99,-,36.99,0.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,657.88,324.6,-22.93,56.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1197,China Life Insurance DRC,L1FC34,BM&FBovespa,Financial,Insurance,16,0%,-,0.00,7.98,-0.67,455.92B,217.00,1.25,0.75,-,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.00,0.00,-15.70,-31.39,-28.83,-,-28.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.12,16,-38.74,0.00,-17.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.05,0.43,-2.81,-308.78,-2.44,-17.27,20.73,54.73,0.00,13.80,-100.00
1198,Tesla Motors DRC,TSLA34,BM&FBovespa,Consumer Discretionary,Automobiles,28.24,-3.95%,-,1.55M,56.37,-1.51,70.90B,1.19M,3.61,1.97,-,-,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-3.95,-9.78,-2.28,-54.58,-51.64,867.12,-53.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.66,27.73,-60.59,1.84,-15.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.82,1.47,-3.33,-144.45,-1.19,-7.86,35.82,53.94,37.99,40.15,-88.59
1199,Broadcom,AVGO34,BM&FBovespa,Information Technology,Semiconductors & Semiconductor Equipment,38.64,-2.18%,-,4.23K,22.86,0.96,24.27B,7.61K,24.01,1.10,1.65,-,Strong Sell,Strong Sell,Neutral,Buy,Buy,-2.18,-5.32,10.94,-25.36,-14.80,134.47,-15.98,2.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.12,31.8,-32.35,21.51,15.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.07,1.76,-0.85,-141.42,-0.98,-1.50,50.78,19.85,0.00,28.34,-99.05
1200,Advanced Micro Devices,A1MD34,BM&FBovespa,Information Technology,Semiconductors & Semiconductor Equipment,45.77,-0.65%,-,37.09K,48.65,1.11,22.32B,55.52K,1.56,1.95,-,-,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,-0.65,-9.24,17.75,-54.64,-52.62,-,-54.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110.4,36.41,-58.54,25.71,29.41%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.26,1.91,-4.22,-212.65,-2.62,-8.13,46.33,44.07,0.00,47.53,-91.32
1201,Archer Daniels Midland Co,A1DM34,BM&FBovespa,Consumer Staples,Food Products,475.68,0%,-,0.00,13.12,9.71,72.31B,186.00,7.27,0.85,5.57,-,Neutral,Strong Sell,Neutral,Strong Buy,Strong Buy,0.00,-0.88,-4.99,26.68,31.76,-,31.76,1.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525.18,357.81,-9.43,32.94,-0.97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.44,7.62,-37.58,-217.00,-30.02,-5.38,44.02,49.54,0.00,24.26,-94.68
1202,Boston Scientific,B1SX34,BM&FBovespa,Healthcare,Health Care Equipment & Supplies,237.6,0.1%,-,814.00,100.98,5.55,12.37B,91.00,0.42,0.84,-,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.10,-0.53,8.90,-0.46,3.25,-,1.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249.69,180.66,-4.84,31.52,5.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.23,3.57,4.17,54.09,2.30,4.96,58.53,64.23,25.05,60.78,-37.68
1203,Charter Communications,CHCM34,BM&FBovespa,Communication Services,Media,32.48,0.43%,-,11.77K,12.30,0.68,40.29B,17.22K,32.74,1.10,-,-,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Sell,0.43,-3.73,7.44,-46.61,-43.04,-2.58,-46.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.36,26.58,-48.74,22.20,6.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.19,0.97,-1.57,-141.17,-1.13,-5.58,48.24,34.58,3.87,29.93,-92.61
1204,CRH,CRHP34,BM&FBovespa,Materials,Construction Materials,210,0%,-,0.00,9.29,-15.46,23.47B,301.00,5.03,0.87,0.91,-,Buy,Strong Buy,Strong Buy,Neutral,Strong Buy,0.00,0.00,22.09,-23.47,-23.47,-,-23.47,0.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308.7,170.8,-31.97,22.95,22.09%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68.14,8.55,31.81,126.45,18.61,6.78,51.00,38.85,100.00,53.85,0.00
1205,Cadence Design Systems,C1DN34,BM&FBovespa,Information Technology,Software,442.53,0%,-,0.00,49.98,8.57,3.41B,793.00,2.89,1.07,-,-,Neutral,Buy,Strong Buy,Strong Buy,Strong Buy,0.00,-0.09,15.85,-17.75,-13.82,-,-13.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,538.02,344.17,-17.75,28.58,10.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68.03,13.55,28.60,67.30,27.34,8.51,56.61,88.58,85.72,62.26,-11.12
1206,Diageo,DEOP34,BM&FBovespa,Consumer Staples,Beverages,54.59,-1.19%,-,197.00,27.54,1.36,15.45B,242.00,1.40,0.38,17.63,-,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Buy,-1.19,-0.93,13.00,-18.56,-13.53,-,-16.59,1.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.02,46.3,-23.13,17.90,8.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.36,0.79,2.09,54.35,0.37,5.75,60.80,75.45,19.31,54.49,-25.93
1207,Deere & Co,DEEC34,BM&FBovespa,Industrials,Machinery,76.4,-0.2%,-,593.00,18.98,2.45,52.58B,1.47K,23.42,1.10,7.89,-,Buy,Buy,Buy,Strong Buy,Strong Buy,-0.20,-0.62,11.29,21.69,14.18,249.18,13.96,0.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.47,49.71,-5.06,53.69,7.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.42,1.90,0.17,-9.63,0.00,3.20,59.51,39.12,0.00,63.26,-48.05
1208,Essex Property Trust,E1SS34,BM&FBovespa,Real Estate,Equity Real Estate Investment Trusts (REITs),111.54,0%,-,0.00,38.31,-4.50,1.60B,346.00,5.52,0.74,3.14,-,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.00,-1.58,4.12,-42.94,-42.33,-,-42.84,2.81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202.47,107.13,-44.91,4.12,-6.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.80,2.46,-4.38,-45.10,-0.69,-0.85,37.34,44.20,75.25,29.98,-66.28
1209,HCA Healthcare,H1CA34,BM&FBovespa,Healthcare,Health Care Providers & Services,62.04,0%,-,0.00,13.43,2.50,59.80B,4.85K,18.07,1.70,0.39,-,Strong Sell,Strong Sell,Strong Buy,Sell,Strong Buy,0.00,-0.29,16.86,-13.93,-7.66,-,-7.33,0.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.51,43.57,-17.84,42.39,11.28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.87,2.52,4.64,68.49,2.72,13.13,61.32,89.41,73.10,61.61,-10.68
1210,Kimco Realty,K1IM34,BM&FBovespa,Real Estate,Equity Real Estate Investment Trusts (REITs),115.1,-3.5%,-,8.60K,58.37,2.47,1.23B,1.57K,0.38,1.41,3.30,-,Strong Sell,Neutral,Strong Buy,Strong Buy,Buy,-3.50,-3.50,3.86,-15.84,-12.66,-,-12.66,2.87%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143.7,96.67,-19.90,19.06,7.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.11,3.05,4.48,62.74,4.91,15.01,56.59,75.07,62.38,61.58,-29.20
1211,McKesson,M1CK34,BM&FBovespa,Healthcare,Health Care Providers & Services,499.45,0%,-,0.00,25.61,11.93,272.50B,177.00,14.02,0.66,1.94,-,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,0.00,0.14,1.78,59.06,59.06,-,59.06,0.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505.06,325,-1.11,53.68,-0.87%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.80,12.56,33.89,87.68,22.34,7.08,61.27,77.14,69.46,61.50,-10.39
1212,Northrop Grumman,NOCG34,BM&FBovespa,Industrials,Aerospace & Defense,500.04,0%,-,0.00,15.02,5.14,26.49B,33.00,35.47,0.64,5.12,-,Neutral,Strong Sell,Sell,Neutral,Strong Buy,0.00,0.38,-10.11,15.73,22.32,71.94,22.30,1.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,571.2,385.6,-12.46,29.68,-12.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.37,20.61,-78.61,-253.00,-49.57,-7.75,42.93,57.09,0.00,38.79,-100.00
1213,Norwegian Cruise Line Holdings,N1CL34,BM&FBovespa,Consumer Discretionary,"Hotels, Restaurants & Leisure",82.78,0%,-,0.00,-1.94,3.02,3.81B,715.00,-8.15,2.44,-,-,Sell,Strong Sell,Strong Sell,Neutral,Sell,0.00,-6.46,-9.83,-30.13,-30.11,-,-27.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129.57,54.07,-36.11,53.10,1.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.65,3.86,-7.46,-109.91,-5.09,-2.79,49.01,33.75,0.00,40.32,-95.35
1214,Koninklijke Philips NV,PHGN34,BM&FBovespa,Healthcare,Health Care Equipment & Supplies,79.28,0%,-,0.00,-8.28,-1.67,16.56B,66.00,-1.53,0.76,3.67,-,Neutral,Strong Buy,Neutral,Sell,Strong Sell,0.00,4.60,21.00,-60.67,-58.88,-,-58.88,4.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212.53,60.43,-62.70,31.19,15.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.52,3.04,8.21,103.92,6.70,13.88,52.01,92.63,100.00,73.35,0.00
